Date,Iterations,LocIterations,Lambda,TrainSize,TimeFit(sec),Accuracy
2023-01-29 12:31:26, 90, 180, 0.85, 60000, 93.90, 0.7799 
2023-01-29 12:32:46, 90, 195, 0.85, 60000, 80.17, 0.7791 
2023-01-29 12:34:09, 90, 210, 0.85, 60000, 82.28, 0.8007 
2023-01-29 12:35:21, 90, 180, 1.00, 60000, 71.93, 0.8104 
2023-01-29 12:36:39, 90, 195, 1.00, 60000, 78.42, 0.8123 
2023-01-29 12:37:59, 90, 210, 1.00, 60000, 79.16, 0.7845 
2023-01-29 12:39:20, 90, 180, 1.15, 60000, 81.12, 0.8104 
2023-01-29 12:40:47, 90, 195, 1.15, 60000, 86.49, 0.8106 
2023-01-29 12:42:14, 90, 210, 1.15, 60000, 87.02, 0.8155 
2023-01-29 12:43:40, 105, 180, 0.85, 60000, 85.45, 0.8104 
2023-01-29 12:45:03, 105, 195, 0.85, 60000, 82.65, 0.8158 
2023-01-29 12:46:38, 105, 210, 0.85, 60000, 94.75, 0.7681 
2023-01-29 12:48:01, 105, 180, 1.00, 60000, 83.18, 0.7818 
2023-01-29 12:49:22, 105, 195, 1.00, 60000, 81.07, 0.7776 
2023-01-29 12:50:53, 105, 210, 1.00, 60000, 90.66, 0.8112 
2023-01-29 12:52:15, 105, 180, 1.15, 60000, 81.24, 0.7875 
2023-01-29 12:53:44, 105, 195, 1.15, 60000, 88.50, 0.7878 
2023-01-29 12:55:17, 105, 210, 1.15, 60000, 92.72, 0.7800 
2023-01-29 12:56:50, 120, 180, 0.85, 60000, 93.43, 0.7560 
2023-01-29 12:58:26, 120, 195, 0.85, 60000, 95.38, 0.7565 
2023-01-29 13:00:10, 120, 210, 0.85, 60000, 104.20, 0.8012 
2023-01-29 13:01:37, 120, 180, 1.00, 60000, 86.75, 0.8116 
2023-01-29 13:03:10, 120, 195, 1.00, 60000, 92.24, 0.8138 
2023-01-29 13:04:47, 120, 210, 1.00, 60000, 96.52, 0.7745 
2023-01-29 13:06:19, 120, 180, 1.15, 60000, 91.86, 0.8139 
2023-01-29 13:07:51, 120, 195, 1.15, 60000, 92.08, 0.8142 
2023-01-29 13:09:33, 120, 210, 1.15, 60000, 101.41, 0.8164 
